               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.035175,            0.012502,            0.017872,             0.34784,             0.39824,             0.28892,             0.19063,            0.047669,            0.011128,            0.021984,            0.006436,            0.006436,            0.006436
                  38,            0.034676,             0.01261,            0.017628,              0.3947,             0.41095,             0.30746,             0.19932,            0.047076,            0.010376,            0.021288,            0.006337,            0.006337,            0.006337
                  39,            0.034618,            0.012404,             0.01769,             0.40173,             0.40588,             0.31467,             0.20366,            0.047374,            0.010759,            0.021172,            0.006238,            0.006238,            0.006238
                  40,            0.034885,            0.012559,            0.017547,             0.37435,             0.40578,             0.31627,             0.19852,             0.04728,            0.011343,            0.021048,            0.006139,            0.006139,            0.006139
                  41,            0.034377,             0.01233,            0.017481,             0.42294,             0.42403,             0.32955,             0.21035,            0.046415,            0.010976,            0.020504,             0.00604,             0.00604,             0.00604
                  42,            0.034203,            0.012174,            0.016949,             0.38847,              0.4141,              0.3184,             0.20298,            0.046523,            0.010955,            0.020966,            0.005941,            0.005941,            0.005941
                  43,            0.034085,            0.012431,            0.017231,             0.43315,             0.40929,             0.32864,             0.20507,            0.047227,            0.011444,            0.020204,            0.005842,            0.005842,            0.005842
                  44,            0.033874,            0.011972,            0.017337,              0.4104,             0.44298,             0.34836,             0.21995,            0.045832,              0.0112,            0.020335,            0.005743,            0.005743,            0.005743
                  45,            0.034258,            0.012243,            0.016851,             0.39765,             0.43704,             0.33562,             0.21474,            0.046185,            0.011065,            0.019736,            0.005644,            0.005644,            0.005644
                  46,            0.033658,            0.012211,            0.016724,             0.42321,             0.42696,             0.34386,             0.21421,            0.045656,            0.010732,            0.019508,            0.005545,            0.005545,            0.005545
                  47,            0.033514,            0.012233,            0.016692,             0.39372,             0.44716,             0.35544,             0.21694,            0.045364,            0.010343,            0.019206,            0.005446,            0.005446,            0.005446
                  48,            0.033386,            0.012084,            0.016571,              0.4212,             0.44848,             0.35005,             0.21817,            0.046178,            0.010697,            0.019478,            0.005347,            0.005347,            0.005347
                  49,            0.033081,            0.012139,            0.016245,              0.3676,             0.45719,             0.36392,             0.22822,            0.045032,            0.010824,            0.019643,            0.005248,            0.005248,            0.005248
                  50,            0.033162,            0.012125,            0.015861,             0.35805,             0.43639,             0.33401,             0.21145,            0.045806,            0.010375,            0.019501,            0.005149,            0.005149,            0.005149
                  51,            0.033013,            0.011983,            0.016118,             0.43128,             0.47321,             0.35602,             0.22288,            0.044628,            0.010441,            0.018275,             0.00505,             0.00505,             0.00505
                  52,            0.032881,            0.012025,            0.015864,             0.39385,             0.48781,             0.36871,             0.22975,            0.044134,            0.010803,            0.018307,            0.004951,            0.004951,            0.004951
                  53,            0.032364,             0.01217,             0.01555,             0.42719,             0.44563,             0.36788,                0.23,            0.044048,            0.010565,            0.018304,            0.004852,            0.004852,            0.004852
                  54,            0.032656,            0.011982,            0.015424,               0.415,             0.45766,             0.37533,             0.23118,            0.044178,            0.010676,            0.018317,            0.004753,            0.004753,            0.004753
                  55,            0.032218,            0.011766,            0.015381,             0.42574,             0.46764,             0.37337,             0.22958,            0.044014,            0.010697,            0.018233,            0.004654,            0.004654,            0.004654
                  56,            0.032088,            0.011897,            0.014914,             0.42743,              0.4675,             0.39967,             0.24091,            0.043592,            0.010664,            0.017685,            0.004555,            0.004555,            0.004555
                  57,            0.032202,            0.011876,            0.014524,             0.42203,              0.4768,             0.40446,             0.24344,            0.043396,            0.010628,            0.017463,            0.004456,            0.004456,            0.004456
                  58,            0.032172,            0.011732,            0.015359,             0.41984,             0.49636,             0.40581,             0.25021,            0.042875,             0.01087,            0.017082,            0.004357,            0.004357,            0.004357
                  59,            0.031664,            0.011648,            0.014599,             0.43025,             0.49359,             0.40578,             0.24708,            0.042888,            0.010911,            0.017407,            0.004258,            0.004258,            0.004258
                  60,            0.031773,            0.011591,            0.014645,             0.42785,              0.4885,             0.39958,             0.24697,            0.042565,            0.010749,            0.017367,            0.004159,            0.004159,            0.004159
                  61,            0.031399,            0.011751,            0.014477,             0.46589,             0.49916,             0.42944,             0.26112,            0.042548,            0.010067,            0.016323,             0.00406,             0.00406,             0.00406
                  62,            0.031697,            0.011696,            0.014543,             0.46137,             0.50909,             0.43948,             0.26755,            0.041991,            0.010534,            0.016256,            0.003961,            0.003961,            0.003961
                  63,            0.030968,            0.011672,            0.013789,             0.44444,             0.51443,             0.42766,              0.2579,            0.042137,            0.010649,            0.016638,            0.003862,            0.003862,            0.003862
                  64,            0.030883,            0.011318,            0.013776,             0.48663,             0.51431,             0.44602,             0.27001,               0.042,            0.010366,            0.016151,            0.003763,            0.003763,            0.003763
                  65,            0.031159,            0.011406,            0.013946,             0.49918,             0.51556,             0.44768,             0.26568,            0.042009,            0.010299,            0.016108,            0.003664,            0.003664,            0.003664
                  66,             0.03063,            0.011407,            0.013987,             0.48132,             0.52144,             0.46348,             0.27885,             0.04114,            0.010644,            0.015663,            0.003565,            0.003565,            0.003565
                  67,            0.031168,            0.011484,             0.01386,             0.46424,             0.55555,             0.46529,             0.28089,            0.040749,            0.010084,            0.015378,            0.003466,            0.003466,            0.003466
                  68,            0.030342,            0.011366,            0.013216,             0.47985,             0.52913,             0.47202,             0.28917,             0.04077,            0.010007,            0.015256,            0.003367,            0.003367,            0.003367
                  69,            0.030125,            0.011235,            0.013257,             0.51494,             0.54075,             0.48722,             0.29533,            0.040281,            0.010343,            0.015176,            0.003268,            0.003268,            0.003268
                  70,            0.029943,            0.011284,            0.013087,             0.51658,             0.52619,             0.50026,             0.29467,            0.040349,            0.010201,            0.014946,            0.003169,            0.003169,            0.003169
